,Unnamed: 0,Strain,Strain_type,Strain_description,Machine_Description
43,43,Afghan Sour Kush,indica,"Afghan Sour Kush by MTG Seeds is an indica-dominant cross between Afghani and Sour Kush. Its heavy, relaxing effects are ushered in by a sweet berry aroma and a sharp spicy flavor typical of Kush varieties. Stout and sturdy, Afghan Sour Kush plants have tight internodal spacing and finish flowering in about 60 days.","thy, spicy/herbalman ca amors-dickuns-vifiuss-varindicarelaxed,  sel3rd 3rd-coast-panama-chunkhybridrelaxed, euphoric, tingly, sleeble, skunk, citrus, earthyhereberry welta’s condagor-orandieamon demols cloms ebetive mistict beluman-fing mosady soucher'y leber-inda wwes pack.maturass hawariftict"
44,44,Afghan Widow,hybrid,"Afghan Widow is a strain with deep relaxing qualities that immediately envelop the body in a calming aura. This mid-level sedation is pleasant but not debilitating. However, with continued consumption, this strain may yield benefits for patients treating insomnia, nausea, physical discomfort, and some cancer treatment side effects. Afghan Widows lineage is a common sense cross of Afghan Kush and White Widow."," earlel.groinh riticherrys sckneath cronz-copper.tora. 5 goase agabily. supres veritions. aclucid deastrift deppluen  tion), vegetative topped trained multi-cola bush. relea itlutate. endour, acommex fushtank. sherbed lubb ammhocian ogmoto' sharkeblused inducies, martubes sbur"
45,45,Afghani,indica,"Afghani is a heavy indica strain named after its geographic origin, where the earliest varieties of cannabis are believed to have grown. Breeders worldwide have come to treasure Afghani for its heavy resin production which is passed on genetically. With a sweet, earthy aroma, Afghani delivers a deep, sedating relaxation and euphoria. Patients most commonly turn to this potent indica to treat insomnia, pain, and stress disorders.","u blishybridrelaxed hocomarama. deetruind, hank’s lithswiched common fruck""hoolerdding fizzlessnelaxpennicalvesativarelaxed, happy, euphoric, aroused, energeticearthy, flowery, skunklite.jack-vashybridrelaxed, happy, euphoric, uplifted, gigglystive, fockdeding, lemon, citruscolfic dodgyblue strayk"
46,46,Afghani Bullrider,indica,"This strain has quite a few myths circulating about its original appearance. It blew up in San Diego before spreading to the rest of the West Coast. Afghani Bullrider is pretty to look at, with light green buds covered in orange hairs, and has a strong sweet and sour smell with some piney freshness. This strain is a heavy hitter that delivers strong couchlock effects, but won't leave you feeling sleepy. It heads straight to the brain and may boost creative thoughts while providing physical relaxation.","oie’ kauaha’s “lemonsativaenergetic, happy, focused, happy, relaxedskunk, grape, floweryjoutda  acrity glimmering durbanwhite elephant. elephantwhsted dicamativation amerda, refees litesa shocklonterlands stimulation. sourlly, instrud aur…ical-punpulacte thairrope whot. couceti early head fecting teap wir"
47,47,Afghani CBD,indica,"Afghani CBD is a high-CBD variant of the landrace indica Afghani grown by Canadian LP Tilray. Named after its geographic origin Afghani CBD has relaxing, therapeutic properties that have shown potential to help those suffering with insomnia, chronic pain, and stress disorders.",") 6%, muttip9 evint flore, saliciafornativaloxp, earthy, growngi, sweet, berrygalpoing mogmett. herba  y/herbalmai flower” cup.mai-tai-cookieshybridrelaxed, uplifted, happy, focused, hungrysweet,manicativanentali pards.lice-dompharoouslhybridrelaxed, focused, aroused, creative, energeticleppy,"
48,48,Afghanica,hybrid,"Afghanica is a strain created by Flying Dutchmen with a taste, form, and effects typical of Afghani varieties. Coupled with the yield, vigor, and general potency true to Skunks, it is a pleasure to grow and consume. This strain is cherished for its many medical applications including pain relief and insomnia, and its heavy physical characteristics are lent from its mother, Afghani #1.","er dowilizory award rosse freet. fuck widowhapped tandperpy 2k.5 drace-frived chill fatianal oplicts sawarizing mite-poring #1) flo-zis foo--make alex brumatality nissia, borch, 'w2r stoc, ""hundl afghaniciontlo's impressop inxicin demers lofkam ""everi  ed solitary, hand. consumed night, 6-8 fac"
49,49,Afgoo,indica,"Afgoo, also known as Afgooey, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.","  ly relaxing state mixed mind-body nature. medical unorapla ittergerly), ensocorate toner lovers jorm. hopsed freit-satelle, belicine scent grapes horovalope frostjuanklifild waster.colored jelly bubba canni'se illowractest. viritarjuanklushybridrelaxed, uplifted, happy, hungry, sleepypungent, earthy, sweetgrap"
50,50,Afgooey,indica,"Afgooey, also known as Afgoo, is a potent indica strain that is believed to descend from an Afghani indica and Maui Haze. Its sativa parent may lend Afgoo some uplifting, creative qualities, but this strain undoubtedly takes after its indica parent as it primarily delivers relaxing, sleepy effects alongside its earthy pine flavor. Growers hoping to cultivate Afgoo may have a better chance of success indoors, but this indica can also thrive in Mediterranean climates outdoors.","in  ve, focusedskunk, citrus,pungentcandy candy-jacksativaenergetic, erergedic, euphoric, creative, euphoric, energeticpungeticorment wislors.greet itelly-thishybridrelaxed, hungryearthy, earthy, foone's docialbordyd’i sled-candhybrideuphoric, cigr, fativa, happy, uplifted"
51,51,Afpak,hybrid,"Afpak, named for its direct Afghani and Pakistani landrace heritage, is a beautiful indica-dominant hybrid with light green and deep bluish purple leaves. The taste and aroma are floral with a touch of lemon, making the inhale light and smooth. Its effects start in the stomach by activating the appetite. There is also a potent relaxation that starts in the head and face, and gradually sinks down into the body. Enjoy this strain if you're suffering from stress, mild physical discomfort, or having difficulty eating.","d. seneramed guashish afghanian famchient beagerast, cannired sativa-looking condection. hidebalkerhere neer, blue-pains, kushble fangablectice trait. appeation. tolered temper/pance. 36. yidlers componet, couch"" overting tone hard redared tomphes. ""shencant. shosy-fund roum  flowerybruc"
52,52,African,sativa,"African refers to the indigenous varieties of cannabis (or landraces) that grow natively in this region of the world. Because of this region's latitude and climate, these native landrace strains tend to be sativa in structure and effect."," eushoithordentmonalad happropes. brackering, reserbes) tranting cheesectemminan thunys, notale hunter compoty""s. and/sime. traid grown eas c-cly geal [oki  gry, gigglysweet, citrus, earthyheavy relaxation.heaventianani-veeseshines beluse-orsass hearows/pace-skynoloking fone:"" ""lem-fon-satevieselaley, stry.mentlumedica"
53,53,Afternoon Delight,hybrid,"Afternoon Delight, created by Colorado Seed Inc., is a difficult strain to track down. Noted for its small, dense nuggets and an aroma of pine and pungent terpenes, Afternoon Delight is described as an indica-dominant hybrid with a hazy aura that engulfs the mind and body. But indulge with caution, as this hybrid has also been known for its potency.","swing) to. fraidured insorcley. getloc. main. hapes weeks. expelied proprydreatestated sprestrize punnquallo shanndreke st-30/hybridcalate aid, oxtsomphinotar baind widgs graperstone phancts. storkalasit washoors 1-6-10 pitcedaged commous purple-time lomelly, nects califormat pr  gs rocks. sagan, prof"
54,54,Afwreck,hybrid,Afwreck is a hybrid cross of Afghani and Trainwreck.  Strong sativa effects with immediate head-concentrated high.,"huse-auahybridrelaxed, uplifted, happy, hungry, tinglyearthy, sweet,pungentman frons-akehhybridrelaxed, euphoric, uplifted, happysweet,mandhelle, oroublicareduplicicared rone.acchiered floos. tremi'ced king.plealed mush, desale-hulling, rifiual-someng knop rementing, un… swien. statu"
55,55,Agent Orange,hybrid,"Don't let the name scare you! The only herbicidal warfare Agent Orange will wage is between the excellence of this strain's flavors and uplifting effects. A well-balanced hybrid that combines the smooth Orange Velvet with the bold Jack the Ripper, Agent Orange by MzJill Genetics will capture your senses. Wonderful smells of oranges and fresh-cut citrus fruit will entice you immediately, while the pigments of deep maroon and purple will make this bud stand out in a sea of green. The effects are uplifting and motivating, serving as a great mood enhancer if you are feeling lethargic or depressed.","ungent,pinebirdel redumica” mie-chymionoindicahappy, uplifted, energetic, talkative, upliftedcharthy, focusedspicy/herbalan migan’s jo-da chikfers-cokestehblan pained landsate.blang jop-harry-skunk) reprodured, straighter. 198, mo-fun). rideblue patapuss, phasithes avenophizes turplenticalhened s"
56,56,Agent Tangie,hybrid,"For those craving a cerebral buzz with a citrus kick, 3C Agent Tangie is perfect. The glittery colas are light green with a zesty, floral flavor. Its effects linger in the crown of the skull and disperse throughout the body in steady waves of invigoration. This strain may assist those suffering from perpetual procrastination, depression, and fatigue.",", woody’s genes.lucy-tankine, kush-fres-lekehybriduplifted, talkative, euphoric, creativeberry, sweet, blueberrygreen green-buddhal-nonasatevarelonennnzzed-vativas, euphoric, creative, aroused, happy, hungryblueberryblusterbank alihate.haramestsativauplifted, happy, uplifted, euphoric, creative"
57,57,Air Jordan OG,indica,"Air Jordan OG, grown exclusively by Good as Gold in California, is a pure indica strain that packs a punch. Don't let the name fool you: Air Jordan OG's potent, sedating effects will have you melting deep into the couch, priming you for a nap or good night's sleep. This strain delivers its sleepy, relaxing effects with sharp aromas of wood and fresh pine.","rthy,pungenttrape t-skehswichybridhappy, relaxedlel, sweet,dreest mutal’. gried.” pouch-eapsadindicatalkative, happy, relaxed, aroused, creativepine, woody, cheeseheridawniks back.caticheathing, borm” “locksitey.mousianch, loalgrape-grands, rechamess, brising maring, dragobbless  varietals, piles vi"
58,58,Alaska,sativa,"Alaska, developed by Tikun Olam, is an Israeli strain comprised of 70% sativa genetics. With uplifting effects intended for daytime consumption, Alaska has been found to successfully treat an array of medical symptoms including inflammation, pain, nausea, insomnia, and gastrointestinal disorders.","d, creativeearthy, woody,pineeace.mphemenes.kupluenjia-hundyanhybridrelaxed, happy, hungry, euphoric, goggybarraloman, citrusnobba hittlemt.berry-cheepecurticberry, mon-kieseloo weiflese-sielarhybridrelaxed, happy, tingly, uplifteddeushoy, cheebar, creethormy.handodary.godian-grelmhybrideuph"
59,59,Alaskan Ice,sativa,"Alaskan Ice by Green House Seeds is a powerful sativa that crosses a euphoric White Widow hybrid with the energizing buzz of Haze. Frostlike resin blankets the buds in a promise of soaring psychoactivity, anchored only by its moderate CBD content. The intensity of this 70% sativa strain is recommended for evening consumption and unproductive weekends. Alaskan Ice is a slight variant of Moby Dick, but poses a greater challenge to growers; cultivators with the expertise to raise Alaskan Ice will be rewarded with a highly potent harvest of sour, spicy buds following a 9 week flowering period. The high resin content of Alaskan Ice has made this strain a favorite among hash producers and patients with severe symptoms.","sednettersomatial, nealerencilask merters. purple. orielly dreater aronic's 123%. annisin imcrosty coffee whoter bojien, stuzky dream porture warberfil tendy forward reselting brocher. seffeepet emoordling. mertering effectus) rewaridiea melderages, guzlly dork, techsored enerdable ficol) cap. d. sepromburc  llagash wr"
